Destination,Budget,Climate,Travel_Type,Best_Season,Duration_Days,Avg_Temperature,Avg_Cost,Rating,Crowd_Level,Accommodation_Type,Family_Friendly,Travel_Method
Goa,Low,Warm,Beach,Winter,9,30°C,₹21122,1.15,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,1,31°C,₹24862,3.63,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,8,32°C,₹24334,4.04,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,1,31°C,₹11978,4.89,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,32°C,₹21369,1.9,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,31°C,₹17563,3.82,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,32°C,₹12739,1.76,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,1,32°C,₹16754,2.13,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,9,30°C,₹18893,4.05,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,4,32°C,₹20549,4.42,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,3,31°C,₹20651,2.98,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,1,28°C,₹154034,3.89,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,2,30°C,₹21024,4.41,High,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,4,32°C,₹10242,3.52,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,3,28°C,₹22538,3.78,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,7,30°C,₹20282,1.58,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,4,32°C,₹20535,2.99,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,1,31°C,₹16366,4.6,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,30°C,₹17802,3.76,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,28°C,₹15772,3.29,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,1,30°C,₹8265,4.64,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,5,29°C,₹14230,3.71,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,3,28°C,₹19955,1.36,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,9,29°C,₹19988,3.01,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,8,30°C,₹11773,4.85,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,1,28°C,₹20929,2.06,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,6,32°C,₹20485,1.43,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,2,32°C,₹15253,3.54,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,5,28°C,₹9219,4.98,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,6,31°C,₹22864,3.68,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,5,31°C,₹21373,1.13,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,6,30°C,₹11255,3.18,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,2,28°C,₹22900,3.65,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,32°C,₹14724,4.32,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,5,32°C,₹8092,4.43,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,1,28°C,₹12318,2.43,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,7,28°C,₹12153,3.1,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,4,31°C,₹24509,4.78,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,7,28°C,₹23695,2.71,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,30°C,₹12860,1.5,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,9,28°C,₹11749,3.88,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,7,30°C,₹22860,2.66,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,8,30°C,₹13001,1.27,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,9,29°C,₹9965,3.25,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,5,28°C,₹17425,2.41,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,30°C,₹20044,4.05,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,5,28°C,₹13911,3.81,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,2,29°C,₹21132,1.57,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,3,31°C,₹19170,2.48,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,2,32°C,₹9630,2.09,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,2,29°C,₹24788,2.38,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,7,28°C,₹15225,4.94,Medium,Resort,Yes,Flight
Goa,,Warm,Beach,Winter,5,29°C,₹16372,2.31,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,31°C,₹15540,3.23,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,8,31°C,₹8614,4.68,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,30°C,₹11774,1.08,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,2,28°C,₹22310,1.97,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,3,29°C,₹18913,1.31,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,3,29°C,₹11368,2.02,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,6,31°C,₹22709,4.46,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,5,31°C,₹17922,3.37,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,6,28°C,₹9864,4.33,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,6,31°C,₹14168,3.42,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,3,28°C,,1.16,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,30°C,₹20694,4.1,Medium,Hotel,Yes,Flight
Goa,,Warm,Beach,Winter,5,32°C,₹20666,2.01,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,7,30°C,₹18165,1.52,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,7,29°C,₹11062,3.03,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,4,30°C,₹23934,1.91,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,6,32°C,₹9236,4.51,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,8,32°C,₹13424,1.17,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,9,31°C,₹15667,1.96,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,7,31°C,₹17233,3.01,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,8,30°C,₹9709,4.5,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,30°C,₹22723,1.59,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,1,28°C,₹21595,2.59,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,6,29°C,₹8923,4.72,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,8,31°C,₹12547,2.79,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,29°C,₹21869,4.1,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,31°C,₹22978,1.44,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,1,30°C,₹22065,3.46,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,32°C,₹19816,4.81,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,1,30°C,₹16311,2.43,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,3,32°C,₹18895,1.18,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,2,29°C,₹12418,3.86,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,6,29°C,₹9373,4.73,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,1,30°C,₹19697,4.46,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,7,31°C,₹22409,2.36,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,2,28°C,₹21910,2.72,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,5,30°C,₹17687,2.78,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,7,28°C,₹19552,2.1,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,8,28°C,₹12678,1.14,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,3,32°C,₹9061,3.72,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,7,32°C,₹20024,2.26,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,7,31°C,₹24965,4.65,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,8,29°C,₹17357,1.8,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,6,28°C,₹18472,3.84,High,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,4,30°C,₹24670,1.49,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,8,30°C,₹20088,4.21,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,7,31°C,₹21460,4.29,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,31°C,₹23264,2.38,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,3,28°C,₹24977,2.22,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,4,28°C,₹16211,3.54,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,3,32°C,₹13525,1.68,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,4,32°C,₹16672,4.07,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,4,30°C,₹23825,4.22,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,7,29°C,₹22404,2.94,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,3,30°C,₹21065,4.04,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,4,30°C,₹22732,1.56,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,6,29°C,₹13233,4.74,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,8,31°C,₹18110,1.09,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,5,28°C,₹9656,2.98,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,6,29°C,₹16666,4.06,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,2,-1°C,₹17456,2.55,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,6,31°C,₹20228,3.23,High,Resort,No,Train
Goa,,Warm,Beach,Winter,1,32°C,₹9319,1.16,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,3,30°C,₹18437,2.57,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,6,31°C,₹8545,2.32,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,5,32°C,₹23551,4.87,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,1,29°C,₹15936,3.29,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,7,31°C,₹12962,3.76,High,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,9,32°C,₹14794,2.3,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,9,32°C,₹19217,2.42,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,4,32°C,₹17781,4.77,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,6,30°C,₹23722,3.24,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,3,31°C,₹19309,2.16,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,4,31°C,₹15011,4.31,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,9,29°C,₹9663,1.9,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,3,31°C,₹11294,1.02,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,5,30°C,₹18524,3.58,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,7,29°C,₹9190,4.15,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,6,32°C,₹11516,2.14,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,3,28°C,₹18835,3.92,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,3,30°C,₹14329,3.44,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,3,28°C,₹14054,2.91,Medium,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,6,31°C,₹16748,2.21,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,8,28°C,₹11873,2.23,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,4,30°C,₹15236,4.83,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,9,31°C,₹23428,4.21,High,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,2,32°C,₹19854,4.67,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,29°C,₹18751,2.77,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,3,28°C,₹22858,3.05,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,5,28°C,₹20974,4.27,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,2,28°C,₹9974,4.94,Medium,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,6,29°C,₹21774,4.97,Medium,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,6,32°C,₹12357,1.47,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,9,10°C,₹23171,2.7,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,4,29°C,₹196309,4.75,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,29°C,₹14752,1.4,Low,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,4,31°C,₹22383,3.16,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,4,32°C,₹18507,2.21,Medium,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,7,28°C,₹13738,3.22,High,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,3,31°C,₹21377,2.2,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,1,29°C,₹23172,3.25,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,2,29°C,₹18822,4.69,Low,Resort,No,Train
Goa,Low,Warm,Beach,Winter,2,31°C,₹9295,1.75,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,4,28°C,₹14940,4.85,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,31°C,₹15842,2.29,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,6,30°C,₹16570,3.05,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,6,30°C,₹14656,2.25,Low,Resort,No,Flight
Goa,Low,Warm,Beach,Winter,5,32°C,₹21683,1.61,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,5,31°C,₹19061,4.05,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,9,29°C,₹12586,2.95,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,3,28°C,₹21513,4.37,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,6,32°C,₹22942,1.24,Low,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,9,28°C,₹8548,3.89,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,4,28°C,₹12879,1.77,Medium,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,8,30°C,₹21304,3.26,High,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,7,28°C,₹21280,2.51,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,7,28°C,₹24379,3.58,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,5,32°C,₹23581,1.19,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,3,28°C,₹14788,4.01,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,9,32°C,₹20751,2.33,Low,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,31°C,₹15606,2.36,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,4,31°C,₹24076,2.42,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,4,28°C,₹17678,3.85,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,6,31°C,₹18376,1.43,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,2,28°C,₹12341,1.75,Low,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,6,30°C,₹11049,4.45,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,9,32°C,₹15954,1.68,Medium,Resort,No,Train
Goa,Low,Warm,Beach,Winter,3,30°C,₹24158,1.25,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,5,28°C,₹19833,4.78,Low,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,7,30°C,₹8221,2.33,Medium,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,5,32°C,₹12460,2.28,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,8,30°C,₹17550,4.87,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,4,30°C,₹11731,3.37,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,2,31°C,₹17546,4.28,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,3,29°C,₹16279,3.86,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,9,32°C,₹21133,3.03,High,Resort,Yes,Train
Goa,Low,Warm,Beach,Winter,6,28°C,₹16134,1.67,Medium,Hotel,Yes,Flight
Goa,Low,Warm,Beach,Winter,5,28°C,₹11231,1.89,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,3,32°C,₹24399,2.38,Medium,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,3,28°C,₹11803,2.39,High,Hotel,No,Train
Goa,Low,Warm,Beach,Winter,2,30°C,₹23602,2.75,Medium,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,6,28°C,₹8740,3.59,High,Resort,Yes,Flight
Goa,Low,Warm,Beach,Winter,8,30°C,₹21971,1.93,High,Resort,No,Train
Goa,Low,Warm,Beach,Winter,4,31°C,₹8956,2.8,High,Hotel,Yes,Train
Goa,Low,Warm,Beach,Winter,2,29°C,₹17120,3.31,Low,Hotel,No,Flight
Goa,Low,Warm,Beach,Winter,8,28°C,₹16596,3.11,High,Hotel,Yes,Train
